22000,22000,3522
49664,443,1968
49665,443,1651
49670,443,1515
51660,4001,1061
1218,4001,1004
49669,443,974
123,123,941
49671,443,858
4001,51660,739
50060,443,732
49666,443,632
49672,443,538
3223,4001,524
4001,1218,511
61316,443,504
62744,443,497
55556,443,486
136,123,456
49673,443,446
49667,443,411
49674,443,401
49668,443,387
4001,3223,386
49813,443,381
49153,443,370
49155,443,369
64861,443,362
56731,443,361
49154,443,361
52297,443,359
56341,443,358
59794,443,357
57428,443,355
52700,443,355
63896,443,354
60632,443,354
58406,443,354
50240,443,352
50061,443,351
65089,443,348
60696,443,348
59747,443,348
56979,443,348
61568,443,347
58613,443,347
51052,443,347
49345,443,346
58929,443,345
57652,443,345
55482,443,345
64517,443,344
62550,443,344
52639,443,344
52321,443,344
51736,443,344
65110,443,343
63469,443,343
63383,443,343
62717,443,343
58466,443,343
56785,443,343
54484,443,343
53870,443,343
64824,443,342
62226,443,342
59759,443,342
57356,443,342
53510,443,342
52550,443,342
63644,443,341
62671,443,341
60490,443,341
59771,443,341
57854,443,341
54373,443,341
54372,443,341
50748,443,341
63706,443,340
57669,443,340
57572,443,340
57532,443,340
57402,443,340
56930,443,340
64816,443,339
60195,443,339
57544,443,339
57415,443,339
57134,443,339
54629,443,339
54604,443,339
54600,443,339
52312,443,339
60876,443,338
58689,443,338
55792,443,338
54313,443,338
52465,443,338
51071,443,338
49675,443,338
49279,443,338
64537,443,337
59712,443,337
59494,443,337
57502,443,337
57478,443,337
56465,443,337
65267,443,336
64101,443,336
61725,443,336
58033,443,336
57437,443,336
57430,443,336
57403,443,336
55904,443,336
53706,443,336
53117,443,336
53050,443,336
53012,443,336
52946,443,336
52672,443,336
51910,443,336
51482,443,336
63754,443,335
60893,443,335
59032,443,335
57622,443,335
56190,443,335
56066,443,335
55918,443,335
55872,443,335
54377,443,335
52467,443,335
49156,443,335
65391,443,334
63826,443,334
60697,443,334
58433,443,334
57385,443,334
56072,443,334
53872,443,334
53693,443,334
52766,443,334
51908,443,334
50493,443,334
60970,443,333
60630,443,333
57404,443,333
57229,443,333
56394,443,333
53064,443,333
52675,443,333
52568,443,333
64781,443,332
64629,443,332
64623,443,332
60422,443,332
59795,443,332
58267,443,332
58129,443,332
57976,443,332
57567,443,332
56123,443,332
55431,443,332
54382,443,332
54341,443,332
53528,443,332
52213,443,332
51855,443,332
50793,443,332
50745,443,332
50291,443,332
49226,443,332
63385,443,331
58327,443,331
57960,443,331
57602,443,331
57527,443,331
56371,443,331
55284,443,331
54523,443,331
51497,443,331
51219,443,331
50031,443,331
64813,443,330
62737,443,330
61788,443,330
61363,443,330
59044,443,330
58440,443,330
57376,443,330
57278,443,330
57203,443,330
55840,443,330
55641,443,330
54662,443,330
53399,443,330
51814,443,330
50865,443,330
49678,443,330
65519,443,329
63715,443,329
63280,443,329
61756,443,329
60492,443,329
60470,443,329
58852,443,329
58549,443,329
57732,443,329
57562,443,329
57440,443,329
57177,443,329
57162,443,329
57046,443,329
56866,443,329
56718,443,329
56128,443,329
55823,443,329
